id,,,W-L%,SRS,SOS,Conf WL,Home WL,Away WL,Points del,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF
1135,32,Brown,0.407,-7.6,-4.49,-0.875,0.1875,-0.727272727,-0.089678511,0.769230769,0.658767773,0.694042553,0.426,0.475703325,0.450920245,0.316,0.812903226,0.76843318,0.756,0.630081301,0.664425017,0.529780564,0.501440922,0.333333333,0.690702087,0.755347594
1136,33,Bryant,0.097,-18.34,-5.02,0.875,-0.625,-1.363636364,-0.698815567,0.870629371,0.730805687,0.8,0.41,0.662404092,0.578220859,0.344,0.593548387,0.601382488,0.705,0.634146341,0.672494956,0.653605016,0.547550432,0.176954733,0.760910816,0.802139037
1137,34,Bucknell NCAA,0.735,4.26,-4.03,0.75,0.875,0.181818182,0.47715736,0.965034965,0.892890995,0.84893617,0.472,0.68797954,0.601226994,0.343,0.977419355,0.973502304,0.717,0.644308943,0.84263618,0.771159875,0.550432277,0.621399177,0.814041746,0.844919786
1138,35,Buffalo NCAA,0.765,7.64,-0.54,0,0.8125,0.272727273,0.514382403,0.961538462,0.990521327,0.938297872,0.474,0.841432225,0.680214724,0.371,0.748387097,0.767281106,0.697,0.827235772,0.891728312,0.902821317,0.625360231,0.588477366,0.808349146,0.961229947
1139,36,Butler NCAA,0.606,16.44,10.11,-0.5,0.6875,-0.363636364,0.353637902,0.944055944,0.913744076,0.868510638,0.472,0.690537084,0.582055215,0.356,0.666129032,0.617511521,0.771,0.615853659,0.756556826,0.724137931,0.639769452,0.399176955,0.700189753,0.804812834
1142,37,Cal Poly,0.29,-11.21,-1.49,-0.25,0.0625,-1.090909091,-0.372250423,0.888111888,0.683412322,0.773191489,0.397,0.68286445,0.572852761,0.357,0.601612903,0.550691244,0.78,0.591463415,0.695359785,0.5830721,0.443804035,0.502057613,0.694497154,0.754010695
1167,38,Cal State Bakersfield,0.4,-6.16,-0.31,0.25,0.25,-0.818181818,-0.147208122,0.839160839,0.660663507,0.710638298,0.417,0.47314578,0.470092025,0.302,0.648387097,0.667050691,0.694,0.693089431,0.717552118,0.606583072,0.524495677,0.358024691,0.789373814,0.798128342
1168,39,Cal State Fullerton NCAA,0.645,-0.51,-1.51,-0.625,0.3125,0,0.16751269,0.874125874,0.745023697,0.71106383,0.47,0.416879795,0.369631902,0.338,0.862903226,0.839861751,0.734,0.556910569,0.732347007,0.620689655,0.570605187,0.41563786,0.831119545,0.739304813
1169,40,Cal State Northridge,0.2,-13.16,-3.2,0.5,-0.3125,-1,-0.377326565,0.84965035,0.692890995,0.718297872,0.433,0.475703325,0.39493865,0.361,0.540322581,0.544930876,0.708,0.50203252,0.632145259,0.570532915,0.429394813,0.304526749,0.69259962,0.712566845
1413,41,UC-Davis,0.688,1.22,-1.98,0.375,0.5,0.272727273,0.265651438,0.923076923,0.769668246,0.739148936,0.467,0.531969309,0.425613497,0.375,0.801612903,0.799539171,0.716,0.522357724,0.69603228,0.615987461,0.654178674,0.308641975,0.785578748,0.830213904
1414,42,UC-Irvine,0.514,0.16,0.04,-0.5,0.125,-0.272727273,0.152284264,0.986013986,0.853080569,0.877021277,0.437,0.562659847,0.503834356,0.335,0.677419355,0.683179724,0.708,0.853658537,0.970410222,0.673981191,0.5129683,0.576131687,0.924098672,0.961229947
1415,43,UC-Riverside,0.29,-8.14,-1.18,0.375,-0.125,-0.909090909,-0.235194585,0.870629371,0.678672986,0.757446809,0.402,0.47314578,0.457822086,0.31,0.656451613,0.667050691,0.703,0.634146341,0.732347007,0.606583072,0.547550432,0.390946502,0.812144213,0.82486631
1364,44,UC-Santa Barbara,0.719,2.5,-2.97,-0.875,0.625,0.272727273,0.362098139,0.898601399,0.831279621,0.804680851,0.464,0.657289003,0.516871166,0.381,0.667741935,0.684331797,0.697,0.662601626,0.790854069,0.753918495,0.443804035,0.485596708,0.639468691,0.71657754
1143,45,University of California,0.25,-2.88,6.57,0.125,-0.4375,-0.454545455,-0.536379019,0.898601399,0.727014218,0.802978723,0.406,0.378516624,0.397239264,0.286,0.780645161,0.826036866,0.675,0.865853659,0.765971755,0.490595611,0.634005764,0.633744856,0.891840607,0.86631016
1144,46,Campbell,0.516,-6.2,-6.98,0.75,0.5,-0.545454545,0.27072758,0.874125874,0.770616114,0.726808511,0.476,0.723785166,0.563650307,0.385,0.712903226,0.684331797,0.744,0.441056911,0.675184936,0.697492163,0.590778098,0.50617284,0.713472486,0.712566845
1145,47,Canisius,0.656,0.78,-4.69,0.125,0.5625,0,0.296108291,0.895104895,0.832227488,0.8,0.467,0.759590793,0.648006135,0.351,0.625806452,0.627880184,0.712,0.664634146,0.721587088,0.849529781,0.628242075,0.382716049,0.796963947,0.804812834
1146,48,Central Arkansas,0.515,-5.17,-5.92,-0.25,0.3125,-0.363636364,0.121827411,0.937062937,0.872985782,0.861702128,0.455,0.698209719,0.577453988,0.363,0.891935484,0.865207373,0.736,0.676829268,0.802286483,0.833855799,0.634005764,0.683127572,0.859582543,0.879679144
1148,49,Central Connecticut State,0.438,-11.25,-7.22,0,0.25,-0.727272727,-0.218274112,0.912587413,0.746919431,0.740425532,0.453,0.506393862,0.460889571,0.329,0.640322581,0.65437788,0.699,0.652439024,0.759919301,0.620689655,0.463976945,0.440329218,0.897533207,0.733957219
1416,50,Central Florida,0.594,5.17,4.17,-0.25,0.5,-0.090909091,0.054145516,0.898601399,0.654028436,0.692340426,0.424,0.452685422,0.412576687,0.329,0.725806452,0.80875576,0.641,0.619918699,0.745124412,0.531347962,0.4870317,0.456790123,0.817836812,0.652406417
1141,51,Central Michigan,0.588,-0.93,-3.19,0,0.4375,-0.363636364,0.30964467,0.968531469,0.847393365,0.877446809,0.434,0.841432225,0.742331288,0.34,0.885483871,0.784562212,0.806,0.776422764,0.834566241,0.714733542,0.628242075,0.477366255,0.753320683,0.735294118
1149,52,Charleston Southern,0.484,-8.2,-6.2,-0.875,0.1875,-0.363636364,0.16751269,0.881118881,0.760189573,0.762978723,0.447,0.531969309,0.483895706,0.33,0.677419355,0.669354839,0.723,0.701219512,0.720242098,0.576802508,0.645533141,0.436213992,0.774193548,0.691176471
1150,53,Charlotte,0.207,-10.44,-0.04,-0.75,-0.4375,-0.909090909,-0.424703892,0.814685315,0.669194313,0.695319149,0.432,0.506393862,0.431748466,0.352,0.735483871,0.733870968,0.716,0.546747967,0.665770007,0.5,0.475504323,0.267489712,0.812144213,0.700534759
1151,54,Chattanooga,0.303,-10.9,-3.87,-0.75,0,-1.181818182,-0.228426396,0.940559441,0.743127962,0.767659574,0.435,0.705882353,0.595858896,0.355,0.717741935,0.721198157,0.711,0.62195122,0.718897108,0.659874608,0.478386167,0.275720165,0.874762808,0.677807487
1152,55,Chicago State,0.094,-21.28,1.42,0.875,-0.3125,-1.727272727,-0.989847716,0.895104895,0.733649289,0.806808511,0.408,0.432225064,0.42101227,0.308,0.732258065,0.72235023,0.724,0.656504065,0.700067249,0.57523511,0.668587896,0.333333333,0.916508539,0.931818182
