id,,,G,W,L,W-L%,SRS,SOS,Conf WL,Home WL,Away WL,Points del,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF
1384,259,Saint Francis (PA),30,18,12,0.6,-5.01,-6.43,6,8,-2,118,1220,840,1784,0.471,243,655,0.371,466,612,0.761,267,1016,404,203,69,347,483
1386,260,Saint Joseph's,32,16,16,0.5,3.88,2,2,7,-5,60,1290,826,1952,0.423,255,756,0.337,464,675,0.687,289,1201,447,203,92,320,497
1387,261,Saint Louis,33,17,16,0.515,2.75,3.1,0,6,-4,13,1325,731,1734,0.422,185,573,0.323,523,802,0.652,387,1188,393,198,146,420,596
1388,262,Saint Mary's (CA),33,28,5,0.848,12.97,0.49,14,15,10,412,1330,925,1799,0.514,255,631,0.404,435,561,0.775,261,1103,515,143,90,321,514
1389,263,Saint Peter's,32,14,18,0.438,-4.95,-4.07,-6,3,-9,-28,1310,740,1762,0.42,253,750,0.337,352,488,0.721,292,1050,378,211,101,416,601
1358,264,Sam Houston State,33,19,14,0.576,-5.21,-5,6,11,-5,99,1325,824,1930,0.427,236,703,0.336,462,648,0.713,400,1229,479,202,57,435,653
1359,265,Samford,32,10,22,0.313,-10.86,-3.12,-6,2,-12,-156,1280,870,1845,0.472,289,773,0.374,454,594,0.764,263,974,530,230,76,435,527
1361,266,San Diego State NCAA,32,22,10,0.688,12.51,3.86,4,11,-2,307,1280,882,1913,0.461,235,693,0.339,481,667,0.721,355,1206,477,202,102,382,545
1360,267,San Diego,32,19,13,0.594,3.57,0.8,0,4,2,129,1290,750,1668,0.45,271,752,0.36,472,662,0.713,239,1051,450,170,127,409,664
1362,268,San Francisco,33,18,15,0.545,2.01,2.51,0,6,-3,7,1330,807,1901,0.425,272,810,0.336,380,555,0.685,335,1153,435,187,108,397,643
1363,269,San Jose State,30,4,26,0.133,-8.42,3.23,-16,-8,-13,-286,1210,705,1618,0.436,178,485,0.367,386,558,0.692,277,1073,385,135,69,488,569
1365,270,Santa Clara,31,11,20,0.355,-6.53,1.09,-2,-5,0,-176,1245,718,1674,0.429,232,682,0.34,380,524,0.725,243,887,404,168,73,350,537
1366,271,Savannah State,32,15,17,0.469,-14.99,-4.69,8,8,-9,-237,1295,940,2350,0.4,391,1304,0.3,483,694,0.696,423,1222,504,301,89,448,608
1370,272,Seattle,33,20,13,0.606,-1.8,-2.67,2,14,-7,123,1330,848,1903,0.446,300,813,0.369,503,677,0.743,353,1252,447,161,119,469,673
1371,273,Seton Hall NCAA,32,21,11,0.656,15.49,9.8,2,11,-1,182,1290,914,1950,0.469,233,640,0.364,467,674,0.693,385,1223,506,201,112,410,567
1373,274,Siena,32,8,24,0.25,-10.19,-2.72,-10,-1,-14,-239,1325,752,1790,0.42,220,600,0.367,442,652,0.678,352,1146,355,153,104,483,641
1375,275,South Alabama,32,14,18,0.438,-5.2,-2.63,-4,7,-11,10,1285,752,1783,0.422,252,779,0.323,472,674,0.7,300,1163,396,171,125,479,612
1354,276,South Carolina State,32,10,22,0.313,-19.91,-8.51,-4,3,-14,-305,1290,828,1946,0.425,206,615,0.335,493,706,0.698,363,1105,353,170,77,446,612
1367,277,South Carolina Upstate,32,7,25,0.219,-17.29,-4.18,-10,-1,-17,-299,1290,881,2045,0.431,328,952,0.345,334,460,0.726,335,1062,449,195,86,370,566
1376,278,South Carolina,33,17,16,0.515,9.8,9.59,-4,5,-4,36,1330,756,1899,0.398,240,709,0.339,561,801,0.7,415,1228,423,180,105,455,661
1355,279,South Dakota State NCAA,34,28,6,0.824,7.12,-0.61,12,15,3,367,1375,979,2084,0.47,361,896,0.403,566,745,0.76,302,1321,459,169,78,340,547
1377,280,South Dakota,34,26,8,0.765,7.07,-2.43,8,12,4,441,1360,991,2066,0.48,237,651,0.364,536,711,0.754,343,1276,453,234,65,378,571
1378,281,South Florida,32,10,22,0.313,-6.99,0.32,-12,-4,-7,-234,1285,707,1691,0.418,207,574,0.361,405,560,0.723,309,1066,379,163,76,449,546
1369,282,Southeast Missouri State,31,14,17,0.452,-7.94,-4.7,-2,0,-3,-58,1250,796,1729,0.46,289,738,0.392,474,650,0.729,273,1005,423,178,54,388,553
1368,283,Southeastern Louisiana,33,22,11,0.667,-5.29,-6.56,12,7,4,126,1320,848,1857,0.457,249,692,0.36,449,684,0.656,351,1136,490,222,96,458,559
1425,284,Southern California,34,23,11,0.676,13.76,6.88,6,8,1,234,1370,953,2034,0.469,276,736,0.375,438,607,0.722,344,1178,533,217,142,359,541
1188,285,SIU Edwardsville,30,9,21,0.3,-12.23,-3.16,-8,-5,-6,-272,1200,734,1759,0.417,212,654,0.324,410,580,0.707,324,1024,373,144,82,409,645
1356,286,Southern Illinois,33,20,13,0.606,1.42,0.7,4,10,-3,28,1340,839,1817,0.462,215,604,0.356,415,596,0.696,281,1079,464,247,118,420,588
1374,287,Southern Methodist,33,17,16,0.515,9.44,4.02,-6,8,-6,179,1320,814,1835,0.444,281,741,0.379,384,560,0.686,365,1109,474,244,99,383,535
1379,288,Southern Mississippi,34,16,18,0.471,-4.62,0.95,-4,8,-9,-48,1365,872,1958,0.445,254,749,0.339,403,573,0.703,254,1035,500,237,59,333,528
1381,289,Southern Utah,32,13,19,0.406,-7.27,-0.5,-8,4,-11,-167,1290,824,1887,0.437,253,706,0.358,515,698,0.738,268,1084,374,166,98,408,699
1380,290,Southern,33,15,18,0.455,-14.4,-9.43,2,8,-10,-90,1330,781,1936,0.403,177,524,0.338,540,793,0.681,429,1285,370,187,121,435,629
1382,291,St. Bonaventure NCAA,32,25,7,0.781,8.98,2.08,10,12,5,221,1300,844,1850,0.456,248,623,0.398,557,739,0.754,331,1138,455,221,115,367,641
1383,292,St. Francis (NY),31,13,18,0.419,-11.83,-6.9,2,7,-10,-97,1260,784,1889,0.415,271,783,0.346,421,591,0.712,322,1046,357,225,82,390,668
1385,293,St. John's (NY),33,16,17,0.485,10.44,10.85,-10,2,-5,15,1345,867,1999,0.434,232,706,0.329,446,602,0.741,288,1109,422,282,171,393,614
1390,294,Stanford,33,18,15,0.545,8.6,7.51,4,8,-2,36,1330,871,1877,0.464,223,595,0.375,539,784,0.688,362,1266,445,173,116,490,598
1372,295,Stephen F. Austin NCAA,34,28,6,0.824,2.78,-6.99,10,15,4,443,1360,982,2012,0.488,237,637,0.372,558,791,0.705,395,1217,490,347,103,527,740
1391,296,Stetson,32,12,20,0.375,-12.24,-6.31,-6,-2,-6,-84,1290,907,2053,0.442,250,726,0.344,348,518,0.672,292,1099,471,228,87,350,586
1392,297,Stony Brook,32,13,19,0.406,-4.96,-2.15,-2,0,-5,-44,1290,779,1866,0.417,249,757,0.329,398,606,0.657,364,1152,427,261,94,448,647
1393,298,Syracuse NCAA,33,20,13,0.606,12.25,9.25,-2,9,-2,99,1340,751,1796,0.418,193,601,0.321,534,722,0.74,399,1233,362,239,183,414,538
1396,299,Temple,32,17,15,0.531,7.51,7.88,-2,3,-5,-12,1290,821,1931,0.425,267,755,0.354,342,495,0.691,328,1086,408,214,103,346,556
1404,300,Tennessee-Martin,31,10,21,0.323,-10.34,-4.79,-8,-4,-7,-118,1255,808,1805,0.448,210,650,0.323,309,426,0.725,306,1086,390,214,105,449,568
1398,301,Tennessee State,30,15,15,0.5,-5.14,-2.79,2,4,-3,-13,1220,669,1574,0.425,223,664,0.336,436,590,0.739,261,989,326,213,86,442,563
1399,302,Tennessee Tech,33,19,14,0.576,-5.62,-3.33,2,8,-5,25,1325,844,1924,0.439,242,697,0.347,483,710,0.68,334,1174,471,252,107,471,649
1397,303,Tennessee NCAA,33,25,8,0.758,18.62,10.8,8,11,4,258,1330,833,1897,0.439,259,675,0.384,524,693,0.756,385,1194,522,208,148,403,646
1394,304,Texas A&M-Corpus Christi,29,11,18,0.379,-12,-6.27,-2,1,-7,-94,1170,691,1589,0.435,149,437,0.341,432,603,0.716,292,1005,323,197,84,461,606
